Text,Label
discreet in english,translateIntent
how to say i dont get her rhetorics in hindi,translateIntent
english translation of amiable,translateIntent
humiliate's translation,translateIntent
flabbergasted translated in english,translateIntent
how to say 'tumhara dil ka kya chahta hai' in hindi,translateIntent
device in hindi,translateIntent
what is foster called in hindi?,translateIntent
what is pervade called in hindi?,translateIntent
how do we translate us shishya ka naam kya hai to english,translateIntent
insurgent in english,translateIntent
how to say my aunt is a public prosecutor in hindi,translateIntent
what's gale translation in hindi?,translateIntent
ripple in english,translateIntent
english translation of eloquent,translateIntent
besiege in english,translateIntent
how to say rave in hindi,translateIntent
what's complacency translation?,translateIntent
what is accede called in hindi?,translateIntent
wax's translation,translateIntent
english translation of intrepid,translateIntent
how do we translate humein parishram karna chahiye to english,translateIntent
manifestation in english,translateIntent
what's erudite translation?,translateIntent
what's assail translation in english?,translateIntent
how do we translate impertinent to english,translateIntent
what's malice translation in english?,translateIntent
how to say he was persecuted for his actions in hindi,translateIntent
how to say he was guilty of his crime in hindi,translateIntent
what is arbitrary called in hindi?,translateIntent
how do we translate saare bahut udaas hain to english,translateIntent
what is stratum called in hindi?,translateIntent
how do we translate humein vishram karna chahiye to english,translateIntent
hindi translation of furtive,translateIntent
aberration translated in english,translateIntent
how to say 'raju khelna chahta hai' in hindi,translateIntent
how to say nominal in hindi,translateIntent
what's cumulative translation?,translateIntent
throng's translation,translateIntent
english translation of avarice,translateIntent
rhetoric in english,translateIntent
what's proceeding translation?,translateIntent
extravagant's translation,translateIntent
what's throng translation in english?,translateIntent
what is cohere called in hindi?,translateIntent
exertion's translation,translateIntent
endow's translation,translateIntent
english translation of cajole,translateIntent
what's brazen translation?,translateIntent
what's exalt translation in english?,translateIntent
hindi translation of callous,translateIntent
exploit's translation,translateIntent
how to say 'janamdin ki haardik shubhkaamnayein' in hindi,translateIntent
how to say monetary in hindi,translateIntent
how do we translate mera jaane ka samay aa gaya hai to english,translateIntent
how to say insinuate in hindi,translateIntent
fathom in hindi,translateIntent
imposed's translation,translateIntent
what is exasperate called in hindi?,translateIntent
candor translated in english,translateIntent
what's extravagant translation in english?,translateIntent
english translation of alacrity,translateIntent
what's insatiable translation?,translateIntent
sublime's translation,translateIntent
clad in hindi,translateIntent
consecrate in hindi,translateIntent
suffrage's translation,translateIntent
what's impudent translation?,translateIntent
ratify in english,translateIntent
hindi translation of chide,translateIntent
hindi translation of forsake,translateIntent
what's suffrage translation in hindi?,translateIntent
ensue's translation,translateIntent
innate translated in hindi,translateIntent
malice's translation,translateIntent
how do we translate saare shishya khush hain to english,translateIntent
siege's translation,translateIntent
what's inept translation?,translateIntent
what is comprehensive called in hindi?,translateIntent
what's wax translation in english?,translateIntent
rebuke in english,translateIntent
what's arcane translation?,translateIntent
how to say she couldn't believe it in hindi,translateIntent
